name	Shot
health	1
type	enemy
speed 12
candamage player npc enemy obstacle 
nolife 1
load shtfl
anim idle
	loop	1
	delay	5
	offset	-60 44
        hitflash shtfl
        bbox	0 1000 1 1
        frame	data/chars/misc/shoot.gif
	attack	0 0 7 7 10 1 0 0 10
	frame	data/chars/misc/shoot.gif
        delay 10
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
        frame	data/chars/misc/shoot.gif
        frame	data/chars/misc/shoot1.gif
